The Brauhaus,15:15:00,19:00:00,,,,,
Capricorn Productions Inc,16:30:00,3:00:00,,,,,
Wish's Club,13:00:00,3:00:00,,,,,
Sinner's,15:00:00,23:00:00,,,,,
Comix Cafe,13:30:00,4:00:00,,,,,
Playhouse entertainment,14:15:00,21:00:00,,,,,
Double D,14:30:00,20:00:00,,,,,
Uncle Mick's,16:00:00,23:00:00,,,,,
Westside Tavern,15:00:00,21:00:00,,,,,
Village Vanguard,12:30:00,2:00:00,,,,,
Dead Dog Saloon,12:30:00,23:00:00,,,,,
Daddy's Money,15:45:00,21:00:00,,,,,
My Brother's Place,14:30:00,3:00:00,,,,,
Net Soft Usa Inc.,12:45:00,22:00:00,,,,,
Wagers,15:45:00,23:00:00,,,,,
Bs West,16:45:00,3:00:00,,,,,
R Bar,13:30:00,1:00:00,,,,,
Vogue Nightclub,15:15:00,19:00:00,,,,,
Riverside Bar & Grill,12:30:00,4:00:00,,,,,
Chotard Recreation,14:30:00,3:00:00,,,,,
Princeton Inn,13:30:00,20:00:00,,,,,
Charlie's Austin,15:00:00,22:00:00,,,,,
Clarke's At South Station,14:00:00,3:00:00,,,,,
15 North Cafe,16:30:00,1:00:00,,,,,
The Chukker,12:45:00,3:00:00,,,,,
Village Inn,12:15:00,19:00:00,,,,,
Bright Spot,15:30:00,0:00:00,,,,,
Beechwood Inn,13:00:00,19:00:00,,,,,
Reflections Sports Bar,16:00:00,20:00:00,,,,,
BURN'T CHIMNEY POLO CLUB,14:45:00,1:00:00,,,,,
Cool Canary Tavern,14:00:00,21:00:00,,,,,
Huge Shirt Pub,16:15:00,23:00:00,,,,,
Polite Turkey ,14:45:00,19:00:00,,,,,
Polite Beavers Pub,12:15:00,21:00:00,,,,,
Fabulous Pirate Bar,13:00:00,3:00:00,,,,,
Spectacular Angels Bar,16:30:00,20:00:00,,,,,
Lean Grotto ,15:00:00,0:00:00,,,,,
Quiet Pistachio Inn,14:30:00,20:00:00,,,,,
Rotten Rats ,14:30:00,22:00:00,,,,,
Wretched Duck ,15:30:00,2:00:00,,,,,
Empty Fish Pub,17:00:00,22:00:00,,,,,
Oriental Antelope Tavern,16:00:00,23:00:00,,,,,
Poor Blossom ,12:00:00,20:00:00,,,,,
Murky Reindeer Pub,13:15:00,20:00:00,,,,,
Triangular Mouse Pub,12:45:00,20:00:00,,,,,
Blushing Onion ,14:45:00,2:00:00,,,,,
Natural Hyena ,15:30:00,3:00:00,,,,,
Violet Anemone Pub,13:15:00,3:00:00,,,,,
Fantastic Trout Tavern,15:15:00,1:00:00,,,,,
Tiny Stew Pub,13:15:00,20:00:00,,,,,
